,Unnamed: 0,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,extended_entities,possibly_sensitive,possibly_sensitive_editable,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread,card,label
17,1.04963971745144E+018,Tue Oct 09 12:36:24 +0000 2018,1.04963971745144E+018,1.04963971745144E+018,"මගේ ප්‍රෝෆයිල් එකේ screenshot එකක් දාගන කුනුහරිප දෙකතුනක් දාගන දඟලන දියරෙදි ඇඳන් නාන පිම්පි ඩයල් එකක වෙතට, 
පයිය තාමත් කෙලිං වෙන පිරිමි කමක් තියෙන එකෙක් කියල හිතෙනවනම් ලෝකෙට පේන්න පොර වෙන්න දඟලන්නැතුව තියෙන ප්‍රශ්නෙ විසඳගන්න වරෙං නිකං පොන්නකම් දාන්නැතුව.👍",False,"[0, 255]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,9.76697800187621E+017,9.76697800187621E+017,,,,,False,0,7,1,0,1.04963971745144E+018,1.04963971745144E+018,False,False,si,,,,,,,,"{'id': 1049639717451444224, 'id_str': '1049639717451444224'}",,1
18,1.09750088311219E+018,Mon Feb 18 14:19:35 +0000 2019,1.09750088311219E+018,1.09750088311219E+018,#ගමටනමක් හැදුන හැටි දන්න අය කියන්න,False,"[0, 34]","{'hashtags': [{'text': 'ගමටනමක්', 'indices': [0, 8]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,186032870,186032870,,,,,True,0,11,2,0,1.09750088311219E+018,1.09750088311219E+018,False,False,si,,,,,1.09748855119594E+018,1.09748855119593E+018,"{'url': 'https://t.co/OndWfUAr0b', 'expanded': 'https://twitter.com/uruzikal/status/1097488551195934720', 'display': 'twitter.com/uruzikal/statu…'}",,,0
20,1.26923543557176E+018,Sat Jun 06 11:51:23 +0000 2020,1.26923543557176E+018,1.26923543557176E+018,මෙ වගෙ ගොන් නාම්බෙක් 😡 https://t.co/AUsD9yGRSh,False,"[0, 22]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1269235425824161793, 'id_str': '1269235425824161793', 'indices': [23, 46], 'media_url': 'http://pbs.twimg.com/media/EZ065SSXQAEiRJ4.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EZ065SSXQAEiRJ4.jpg', 'url': 'https://t.co/AUsD9yGRSh', 'display_url': 'pic.twitter.com/AUsD9yGRSh', 'expanded_url': 'https://twitter.com/Yama_Rajano/status/1269235435571761158/photo/1', 'type': 'photo', 'original_info': {'width': 800, 'height': 800, 'focus_rects': [{'x': 0, 'y': 76, 'h': 448, 'w': 800}, {'x': 0, 'y': 0, 'h': 800, 'w': 800}, {'x': 98, 'y': 0, 'h': 800, 'w': 702}, {'x': 400, 'y': 0, 'h': 800, 'w': 400}, {'x': 0, 'y': 0, 'h': 800, 'w': 800}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 800, 'h': 800, 'resize': 'fit'}, 'large': {'w': 800, 'h': 800, 'resize': 'fit'}}, 'features': {'small': {'faces': [{'x': 126, 'y': 334, 'h': 32, 'w': 32}]}, 'medium': {'faces': [{'x': 149, 'y': 393, 'h': 38, 'w': 38}]}, 'large': {'faces': [{'x': 149, 'y': 393, 'h': 38, 'w': 38}]}, 'orig': {'faces': [{'x': 149, 'y': 393, 'h': 38, 'w': 38}]}}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1.17348933483131E+018,1.17348933483131E+018,,,,,False,0,17,3,0,1.26923543557176E+018,1.26923543557176E+018,False,False,si,,"{'media': [{'id': 1269235425824161793, 'id_str': '1269235425824161793', 'indices': [23, 46], 'media_url': 'http://pbs.twimg.com/media/EZ065SSXQAEiRJ4.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EZ065SSXQAEiRJ4.jpg', 'url': 'https://t.co/AUsD9yGRSh', 'display_url': 'pic.twitter.com/AUsD9yGRSh', 'expanded_url': 'https://twitter.com/Yama_Rajano/status/1269235435571761158/photo/1', 'type': 'photo', 'original_info': {'width': 800, 'height': 800, 'focus_rects': [{'x': 0, 'y': 76, 'h': 448, 'w': 800}, {'x': 0, 'y': 0, 'h': 800, 'w': 800}, {'x': 98, 'y': 0, 'h': 800, 'w': 702}, {'x': 400, 'y': 0, 'h': 800, 'w': 400}, {'x': 0, 'y': 0, 'h': 800, 'w': 800}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 800, 'h': 800, 'resize': 'fit'}, 'large': {'w': 800, 'h': 800, 'resize': 'fit'}}, 'features': {'small': {'faces': [{'x': 126, 'y': 334, 'h': 32, 'w': 32}]}, 'medium': {'faces': [{'x': 149, 'y': 393, 'h': 38, 'w': 38}]}, 'large': {'faces': [{'x': 149, 'y': 393, 'h': 38, 'w': 38}]}, 'orig': {'faces': [{'x': 149, 'y': 393, 'h': 38, 'w': 38}]}}, 'media_key': '3_1269235425824161793', 'ext_media_color': {'palette': [{'rgb': {'red': 39, 'green': 41, 'blue': 32}, 'percentage': 39.0}, {'rgb': {'red': 164, 'green': 135, 'blue': 97}, 'percentage': 26.56}, {'rgb': {'red': 208, 'green': 222, 'blue': 230}, 'percentage': 10.5}, {'rgb': {'red': 93, 'green': 76, 'blue': 43}, 'percentage': 8.19}, {'rgb': {'red': 123, 'green': 75, 'blue': 51}, 'percentage': 4.07}]}, 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",False,True,,,,,,1
21,1.19717957502271E+018,Wed Nov 20 15:47:07 +0000 2019,1.19717957502271E+018,1.19717957502271E+018,@anuwa01 වරෙන් පෙන්නන්න,False,"[9, 23]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'anuwa01', 'name': 'P U S P E', 'id': 707102986049347584, 'id_str': '707102986049347584', 'indices': [0, 8]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.19715261230447E+018,1.19715261230447E+018,7.07102986049348E+017,7.07102986049348E+017,anuwa01,1663057346,1663057346,,,,,False,0,1,1,0,1.19715261230447E+018,1.19715261230447E+018,False,False,si,,,,,,,,,,0
22,1.03798207570017E+018,Fri Sep 07 08:33:06 +0000 2018,1.03798207570017E+018,1.03798207570017E+018,"@BasnayakageGopi ගෝපී නැගනිය,  හුත්ත උල් කිරීම යනු නොගැලපෙන උපමාවෙකි. නිවැරදි වදන පයිය උල් කරගැනීම විය යුතුය. හුත්ත හා සම්බන්ධ ක්‍රියාපදය වන්නේ පලල් කිරීමයි.. 

මට කියල හුත්ත පලල් කොරෝ ගන්න එපා.. ඕ හදන්නෙ පලල් කොරෝගෙන පලාගෙන යන්න තමයි.. ආදි අයුරින් යෙදේ..",False,"[17, 255]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BasnayakageGopi', 'name': 'ගෝප්ස්', 'id': 982608810928844801, 'id_str': '982608810928844801', 'indices': [0, 16]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.03790321934564E+018,1.03790321934564E+018,9.82608810928845E+017,9.82608810928845E+017,BasnayakageGopi,1.02239395955592E+018,1.02239395955592E+018,,,,,False,0,1,1,0,1.03790321934564E+018,1.03790321934564E+018,False,False,si,,,,,,,,,,1
24,1.14283301945712E+018,Sun Jun 23 16:33:19 +0000 2019,1.14283301945712E+018,1.14283301945712E+018,බුදාම්මෝ රනිල්... එ්ක.... 😂 https://t.co/9dzTsg8OjF,False,"[0, 27]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1142832559576895489, 'id_str': '1142832559576895489', 'indices': [28, 51], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1142832559576895489/pu/img/oCy8Jzblj1TMbs4t.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1142832559576895489/pu/img/oCy8Jzblj1TMbs4t.jpg', 'url': 'https://t.co/9dzTsg8OjF', 'display_url': 'pic.twitter.com/9dzTsg8OjF', 'expanded_url': 'https://twitter.com/udeshsameera11/status/1142833019457118208/video/1', 'type': 'photo', 'original_info': {'width': 400, 'height': 300}, 'sizes': {'small': {'w': 400, 'h': 300, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 400, 'h': 300, 'resize': 'fit'}, 'medium': {'w': 400, 'h': 300, 'resize': 'fit'}}, 'features': {}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,2873438135,2873438135,,,,,False,5,40,5,1,1.14283301945712E+018,1.14283301945712E+018,False,False,si,,"{'media': [{'id': 1142832559576895489, 'id_str': '1142832559576895489', 'indices': [28, 51], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1142832559576895489/pu/img/oCy8Jzblj1TMbs4t.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1142832559576895489/pu/img/oCy8Jzblj1TMbs4t.jpg', 'url': 'https://t.co/9dzTsg8OjF', 'display_url': 'pic.twitter.com/9dzTsg8OjF', 'expanded_url': 'https://twitter.com/udeshsameera11/status/1142833019457118208/video/1', 'type': 'video', 'original_info': {'width': 400, 'height': 300}, 'sizes': {'small': {'w': 400, 'h': 300, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 400, 'h': 300, 'resize': 'fit'}, 'medium': {'w': 400, 'h': 300, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [4, 3], 'duration_millis': 58600, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1142832559576895489/pu/vid/400x300/A5bJusZT_UZn_c17.mp4?tag=10'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1142832559576895489/pu/pl/9g1P0eUthMRmzQzJ.m3u8?tag=10'}, {'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1142832559576895489/pu/vid/360x270/1RJn-p3pkZOIcLBB.mp4?tag=10'}]}, 'features': {}, 'media_key': '7_1142832559576895489', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 0, 'green': 0, 'blue': 0}, 'percentage': 32.06}, {'rgb': {'red': 200, 'green': 215, 'blue': 242}, 'percentage': 24.24}, {'rgb': {'red': 75, 'green': 131, 'blue': 39}, 'percentage': 16.41}, {'rgb': {'red': 149, 'green': 116, 'blue': 97}, 'percentage': 13.35}, {'rgb': {'red': 213, 'green': 214, 'blue': 205}, 'percentage': 2.4}]}, 'ext': {'mediaStats': {'r': {'ok': {'viewCount': '149'}}, 'ttl': -1}}, 'additional_media_info': {'monetizable': False}}]}",False,True,,,,,,0
27,1.20326628344742E+018,Sat Dec 07 10:53:32 +0000 2019,1.20326628344742E+018,1.20326628344742E+018,@KasunMadusha17 උබට පයියක් නැ කියලා කිව්ව නිසා පව් කියලා හිතුනා එකයි කොන කපන එක ඇදලා  ගත්තෙ 😂 පව්😂,False,"[16, 98]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.20326583330218E+018,1.20326583330218E+018,9.68129199679484E+017,9.68129199679484E+017,1anonlyhcfanboy,1.14770002571722E+018,1.14770002571722E+018,,,,,False,0,0,1,0,1.20326075115207E+018,1.20326075115207E+018,False,False,si,,,,,,,,,,1
28,1.21086452247662E+018,Sat Dec 28 10:06:13 +0000 2019,1.21086452247662E+018,1.21086452247662E+018,@Chandu_original @DasunMaduranga5 @SGRathnayaka1 @Isuru_SLfirst @RTSuppa @Dkandamulla @LakshanPramody @saami_93 ගොනෝරියා හැදිල තැනින් තැන හිල්වුන පයියෙං චූ දාද්දි බටනලා පිඹ්නවවගේ සද්දෙ එනව ඇති. ඌ හිතනව ඇත්තෙ පයිය කතා කරනව කියල,False,"[112, 226]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Chandu_original', 'name': '🅒🅗🅐🅝🅓🅤ᵅ💫', 'id': 1181169304877879297, 'id_str': '1181169304877879297', 'indices': [0, 16]}, {'screen_name': 'DasunMaduranga5', 'name': 'Dasun Maduranga', 'id': 1177957390383120385, 'id_str': '1177957390383120385', 'indices': [17, 33]}, {'screen_name': 'Isuru_SLfirst', 'name': 'Mr. ස්ටබර්න්™', 'id': 1027571402096820224, 'id_str': '1027571402096820224', 'indices': [49, 63]}, {'screen_name': 'RTSuppa', 'name': 'Supun Rajapakshe', 'id': 1243398463791828997, 'id_str': '1243398463791828997', 'indices': [64, 72]}, {'screen_name': 'LakshanPramody', 'name': 'Lakshan 🇱🇰', 'id': 862693278356865025, 'id_str': '862693278356865025', 'indices': [86, 101]}, {'screen_name': 'saami_93', 'name': 'සාමී 🇱🇰', 'id': 1077761386850050049, 'id_str': '1077761386850050049', 'indices': [102, 111]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.21086388043768E+018,1.21086388043768E+018,1.18116930487788E+018,1.18116930487788E+018,Chandu_original,799677397,799677397,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,False,0,3,2,0,1.21083458233495E+018,1.21083458233495E+018,False,False,si,,,,,,,,,,1
29,1.09748855119593E+018,Mon Feb 18 13:30:35 +0000 2019,1.09748855119593E+018,1.09748855119593E+018,"@lishwebber එතකොට කිඹිස්ස, පයියාගල එහෙම හැදුනෙ කොහොමද?👀🙊",False,"[12, 56]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lishwebber', 'name': 'L15H4N', 'id': 36591833, 'id_str': '36591833', 'indices': [0, 11]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.09748445974454E+018,1.09748445974454E+018,36591833,36591833,lishwebber,1.05745791577751E+018,1.05745791577751E+018,,,,,False,0,3,1,1,1.09748445974454E+018,1.09748445974454E+018,False,False,si,,,,,,,,,,0
32,1.25875872837289E+018,Fri May 08 14:00:42 +0000 2020,1.25875872837289E+018,1.25875872837289E+018,@DarshanaKande අඩෝ ගොත පකයා.මෙක ඉවරයි කියලා පඩුවෙ ඉන්න හැදුවේ ගොං අපතයා. කවුද පකයෝ    උඹ.උබට පුලුවන්ද කෙලින් හීටගේන ඔලුව පහාත් කරලා උබේ පයිය දීහා බලන්න බඩ විකුනන් කන පේරේත හූත්තා..ස්ටූ හදා ගෙන කාපන් ඉම්‍ර්රාස් ගේ කොන😁🖕,False,"[15, 218]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DarshanaKande', 'name': 'Darshana Kandamulla', 'id': 1135152101388980224, 'id_str': '1135152101388980224', 'indices': [0, 14]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2587526378533E+018,1.2587526378533E+018,1.13515210138898E+018,1.13515210138898E+018,DarshanaKande,1.24682336416701E+018,1.24682336416701E+018,,,,,False,0,0,1,1,1.2587526378533E+018,1.2587526378533E+018,False,False,si,,,,,,,,,,1
35,9.81570675524616E+017,Wed Apr 04 16:34:20 +0000 2018,9.81570675524616E+017,9.81570675524616E+017,@rangaba නාමල්ගෙ පයිය,False,"[9, 21]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rangaba', 'name': 'Ranga Sirilal', 'id': 140395166, 'id_str': '140395166', 'indices': [0, 8]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9.81570118722425E+017,9.81570118722425E+017,140395166,140395166,rangaba,9.68328596178788E+017,9.68328596178788E+017,,,,,False,0,0,0,0,9.81570118722425E+017,9.81570118722425E+017,False,False,si,,,,,,,,,,1
38,1.19458495175828E+018,Wed Nov 13 11:57:01 +0000 2019,1.19458495175828E+018,1.19458495175828E+018,@Anushka60212320 @DKandamulla ලංකාවට ඇවිත් ඕක කියපන් පුලුවන්නම්,False,"[30, 63]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.1945847101791E+018,1.1945847101791E+018,1.11020364369594E+018,1.11020364369594E+018,anushaka_____,9.80446497685852E+017,9.80446497685852E+017,,,,,False,0,1,2,0,1.19416198368938E+018,1.19416198368938E+018,False,False,si,,,,,,,,,,0
41,1.1916277130288E+018,Tue Nov 05 08:06:00 +0000 2019,1.1916277130288E+018,1.1916277130288E+018,@dananjayaperer4 @lahirunirmala තෝ කියන්නෙ මගෙ පයිය මෙන්නෙ මෙච්චරයි කිය කිය හතර වටේ යන්ඩද.😂🤚,False,"[32, 92]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dananjayaperer4', 'name': 'Dananjaya perera', 'id': 837964575576375296, 'id_str': '837964575576375296', 'indices': [0, 16]}, {'screen_name': 'lahirunirmala', 'name': 'Hiru', 'id': 33105446, 'id_str': '33105446', 'indices': [17, 31]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.19162696887101E+018,1.19162696887101E+018,8.37964575576375E+017,8.37964575576375E+017,dananjayaperer4,233860469,233860469,,,,,False,0,0,0,0,1.19162024036025E+018,1.19162024036025E+018,False,False,si,,,,,,,,,,1
