,Unnamed: 0,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,possibly_sensitive,possibly_sensitive_editable,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread,extended_entities,label
13,7.76718629983228E+017,Fri Sep 16 09:45:26 +0000 2016,7.76718629983228E+017,7.76718629983228E+017,නොදකින් පර බැල්ලි..! https://t.co/62abkoZXO9,False,"[0, 44]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/62abkoZXO9', 'expanded_url': 'http://fb.me/2scSZYzqp', 'display_url': 'fb.me/2scSZYzqp', 'indices': [21, 44]}]}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,249054217,249054217,,,,,False,0,0,0,0,7.76718629983228E+017,7.76718629983228E+017,False,False,si,,False,True,,,,,,1
14,1.32614706917052E+018,Tue Nov 10 12:57:54 +0000 2020,1.32614706917052E+018,1.32614706917052E+018,@da_sukiya කොහේදකියන්න එපා ඔයා හුකන්නි,False,"[11, 38]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'da_sukiya', 'name': 'Sukiya 🇱🇰', 'id': 181142874, 'id_str': '181142874', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.32611032094798E+018,1.32611032094798E+018,181142874,181142874,da_sukiya,246224922,246224922,,,,,False,0,0,1,0,1.32611032094798E+018,1.32611032094798E+018,False,False,si,,,,,,,,,1
15,1.2536871705791E+018,Fri Apr 24 14:08:08 +0000 2020,1.2536871705791E+018,1.2536871705791E+018,"ගෙදර හිටපු අන්තිම බලු පැටව් දෙන්නත් පන්සලට ගිහින් දැම්මා
💔💔😔
දැන් ගෙදරම පාලුයි 💔",False,"[0, 80]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,2910146527,2910146527,,,,,False,0,69,12,5,1.2536871705791E+018,1.2536871705791E+018,False,False,si,,,,,,,,,0
16,9.45656981276074E+017,Tue Dec 26 14:06:08 +0000 2017,9.45656981276074E+017,9.45656981276074E+017,"වල් බැල්ලි ගහනවා තොට වැලි @NotAqeela 

😂 https://t.co/SzJs2MRdwL",False,"[0, 40]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SzJs2MRdwL', 'expanded_url': 'https://twitter.com/AmIsoSweet/status/945640091669499907', 'display_url': 'twitter.com/AmIsoSweet/sta…', 'indices': [41, 64]}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,51682323,51682323,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,True,0,0,1,0,9.45656981276074E+017,9.45656981276074E+017,False,False,si,,False,True,9.456400916695E+017,9.456400916695E+017,"{'url': 'https://t.co/SzJs2MRdwL', 'expanded': 'https://twitter.com/AmIsoSweet/status/945640091669499907', 'display': 'twitter.com/AmIsoSweet/sta…'}",,,1
17,1.20760412714614E+018,Thu Dec 19 10:10:34 +0000 2019,1.20760412714614E+018,1.20760412714614E+018,"@Wind_Desika බල්ලගෙ බල්ලා කිව්වෙ, ඌ ගේ ද? බල්ලගෙ බැල්ලි කිව්වනම් හරි.",False,"[13, 69]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Wind_Desika', 'name': 'WinD', 'id': 2533578847, 'id_str': '2533578847', 'indices': [0, 12]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.20745406615195E+018,1.20745406615195E+018,2533578847,2533578847,Wind_Desika,48930119,48930119,,,,,False,0,0,0,0,1.20745406615195E+018,1.20745406615195E+018,False,False,si,,,,,,,,,0
18,1.14273040556649E+018,Sun Jun 23 09:45:34 +0000 2019,1.14273040556649E+018,1.14273040556649E+018,"ඉයෙ බැල්ලි  කානිවල් එකෙදි හිටියා වෙන එකෙක් එක්ක හුරතල් වෙවි මගෙ පාපුව හොස් ගලා ගියා  😡😡.  

අනෙ මෙහෙමත් මිනිස්සු  😞😞",False,"[0, 116]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,2929030242,2929030242,,,,,False,0,43,8,1,1.14273040556649E+018,1.14273040556649E+018,False,False,si,,,,,,,,,1
20,1.06385209984108E+018,Sat Nov 17 17:51:20 +0000 2018,1.06385209984108E+018,1.06385209984108E+018,"@defyixviiithara තෝ මැරිය බැල්ලි 😂 @CIDDumiya 
#එකළඟට්වීට් https://t.co/36qlstrIQ4",False,"[0, 58]","{'hashtags': [{'text': 'එකළඟට්වීට්', 'indices': [47, 58]}], 'symbols': [], 'user_mentions': [{'screen_name': 'defyixviiithara', 'name': 'deffy:', 'id': 3334390273, 'id_str': '3334390273', 'indices': [0, 16]}], 'urls': [], 'media': [{'id': 1063852086444478464, 'id_str': '1063852086444478464', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/DsOP1goU0AAoZrU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DsOP1goU0AAoZrU.jpg', 'url': 'https://t.co/36qlstrIQ4', 'display_url': 'pic.twitter.com/36qlstrIQ4', 'expanded_url': 'https://twitter.com/itzJambole/status/1063852099841081344/photo/1', 'type': 'photo', 'original_info': {'width': 750, 'height': 402, 'focus_rects': [{'x': 0, 'y': 0, 'h': 402, 'w': 718}, {'x': 0, 'y': 0, 'h': 402, 'w': 402}, {'x': 0, 'y': 0, 'h': 402, 'w': 353}, {'x': 0, 'y': 0, 'h': 402, 'w': 201}, {'x': 0, 'y': 0, 'h': 402, 'w': 750}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 750, 'h': 402, 'resize': 'fit'}, 'large': {'w': 750, 'h': 402, 'resize': 'fit'}, 'small': {'w': 680, 'h': 364, 'resize': 'fit'}}, 'features': {'medium': {'faces': [{'x': 386, 'y': 100, 'h': 36, 'w': 36}, {'x': 58, 'y': 246, 'h': 84, 'w': 84}]}, 'large': {'faces': [{'x': 386, 'y': 100, 'h': 36, 'w': 36}, {'x': 58, 'y': 246, 'h': 84, 'w': 84}]}, 'orig': {'faces': [{'x': 386, 'y': 100, 'h': 36, 'w': 36}, {'x': 58, 'y': 246, 'h': 84, 'w': 84}]}, 'small': {'faces': [{'x': 349, 'y': 90, 'h': 32, 'w': 32}, {'x': 52, 'y': 223, 'h': 76, 'w': 76}]}}}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,3334390273,3334390273,defyixviiithara,2483063340,2483063340,,,,,False,2,2,2,0,1.06385209984108E+018,1.06385209984108E+018,False,False,si,,False,True,,,,,"{'media': [{'id': 1063852086444478464, 'id_str': '1063852086444478464', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/DsOP1goU0AAoZrU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DsOP1goU0AAoZrU.jpg', 'url': 'https://t.co/36qlstrIQ4', 'display_url': 'pic.twitter.com/36qlstrIQ4', 'expanded_url': 'https://twitter.com/itzJambole/status/1063852099841081344/photo/1', 'type': 'photo', 'original_info': {'width': 750, 'height': 402, 'focus_rects': [{'x': 0, 'y': 0, 'h': 402, 'w': 718}, {'x': 0, 'y': 0, 'h': 402, 'w': 402}, {'x': 0, 'y': 0, 'h': 402, 'w': 353}, {'x': 0, 'y': 0, 'h': 402, 'w': 201}, {'x': 0, 'y': 0, 'h': 402, 'w': 750}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 750, 'h': 402, 'resize': 'fit'}, 'large': {'w': 750, 'h': 402, 'resize': 'fit'}, 'small': {'w': 680, 'h': 364, 'resize': 'fit'}}, 'features': {'medium': {'faces': [{'x': 386, 'y': 100, 'h': 36, 'w': 36}, {'x': 58, 'y': 246, 'h': 84, 'w': 84}]}, 'large': {'faces': [{'x': 386, 'y': 100, 'h': 36, 'w': 36}, {'x': 58, 'y': 246, 'h': 84, 'w': 84}]}, 'orig': {'faces': [{'x': 386, 'y': 100, 'h': 36, 'w': 36}, {'x': 58, 'y': 246, 'h': 84, 'w': 84}]}, 'small': {'faces': [{'x': 349, 'y': 90, 'h': 32, 'w': 32}, {'x': 52, 'y': 223, 'h': 76, 'w': 76}]}}, 'media_key': '3_1063852086444478464', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 22, 'green': 32, 'blue': 42}, 'percentage': 89.47}, {'rgb': {'red': 109, 'green': 114, 'blue': 120}, 'percentage': 4.81}, {'rgb': {'red': 216, 'green': 205, 'blue': 215}, 'percentage': 4.23}, {'rgb': {'red': 110, 'green': 74, 'blue': 62}, 'percentage': 0.57}, {'rgb': {'red': 218, 'green': 189, 'blue': 84}, 'percentage': 0.28}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",1
21,1.34854056458141E+018,Mon Jan 11 08:01:39 +0000 2021,1.34854056458141E+018,1.34854056458141E+018,ස්ස් බැල්ලි කොහෙද යන්නෙ😒,False,"[0, 24]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1.11702161061831E+018,1.11702161061831E+018,,,,,False,0,22,5,0,1.34854056458141E+018,1.34854056458141E+018,False,False,si,,,,,,,,,1
23,7.8060864182918E+017,Tue Sep 27 03:22:57 +0000 2016,7.8060864182918E+017,7.8060864182918E+017,ලංකාවේ රනිල්ට කඩේ යන උන්ම හිලරිට කඩේ යනවා වගේ 😎 කොහොමත් උන් ඔක්කොම කොටියට රෙදි නැතුවනේ කඩේ යන්නේ #debates #PresidentialDebate,False,"[0, 125]","{'hashtags': [{'text': 'debates', 'indices': [97, 105]}, {'text': 'PresidentialDebate', 'indices': [106, 125]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,992835230,992835230,,,,,False,1,8,1,0,7.8060864182918E+017,7.8060864182918E+017,False,False,si,,,,,,,,,0
27,1.22363331845081E+018,Sat Feb 01 15:44:51 +0000 2020,1.22363331845081E+018,1.22363331845081E+018,@indika27 🤣🤣🤣🤣 රංජන්ගේ ස්ටයිල් එක වෙනස් බබාහ්,False,"[10, 45]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'indika27', 'name': 'Amila Chathuranga', 'id': 150624162, 'id_str': '150624162', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.22363305464155E+018,1.22363305464155E+018,150624162,150624162,indika27,2533578847,2533578847,,,,,False,0,1,1,0,1.22362998345477E+018,1.22362998345477E+018,False,False,si,,,,,,,,,0
28,1.05643528068785E+018,Sun Oct 28 06:39:33 +0000 2018,1.05643528068785E+018,1.05643528068785E+018,"රතිඤ්ඤා ගෙනල්ලා තියෙන්නෙ 📣🎆🎇🎉️💥
-ප්‍රභාකරන් එක්ක දොයිගත්ත වේසකලා කියන පර බැල්ලි හීරේ දාපු දවසට දාන්න
-හිරේ දාපු මගෙ රණවිරුවො නිදහස් උන දවසට දාන්න
-විල්පත්තුව කපපු පරයො හිරේ දාපු දවසට දාන්න
-කොටින්ට වන්දි වෙනුවට... https://t.co/ikmDHeQMKJ",False,"[0, 237]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ikmDHeQMKJ', 'expanded_url': 'https://www.facebook.com/100002919240140/posts/1970088216431801/', 'display_url': 'facebook.com/10000291924014…', 'indices': [214, 237]}]}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,702597727,702597727,,,,,False,0,0,0,0,1.05643528068785E+018,1.05643528068785E+018,False,False,si,,False,True,,,,,,1
29,1.31219702519519E+018,Sat Oct 03 01:05:24 +0000 2020,1.31219702519519E+018,1.31219702519519E+018,"@bluesky27416094 @realDonaldTrump @FLOTUS මොන මගුලක්ද ඔයා මා ගැන කිව්වේ, පොඩි බැල්ලි? මම නාවික හමුදා සීල්ස් හි මගේ පන්තියේ ඉහළින්ම උපාධිය ලබා ඇති බව මම දනිමි, මම අල්කයිඩා හි රහසිගත වැටලීම් ගණනාවකට සම්බන්ධ වී සිටිමි.
මම ගෝරිල්ලා යුද්ධ පිළිබඳ පුහුණුව ලබා ඇති අතර සමස්ත එක්සත් ජනපද සන්නද්ධ හමුදාවේ ඉහළම ස්නයිපර් මම වෙමි. ඔබ https://t.co/11RW5zwWDI",False,"[42, 320]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bluesky27416094', 'name': 'BlueSky', 'id': 1277183613717512196, 'id_str': '1277183613717512196', 'indices': [0, 16]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [17, 33]}, {'screen_name': 'FLOTUS', 'name': 'Jill Biden', 'id': 1349154719386775552, 'id_str': '1349154719386775552', 'indices': [34, 41]}], 'urls': [], 'media': [{'id': 1312197020891848704, 'id_str': '1312197020891848704', 'indices': [321, 344], 'media_url': 'http://pbs.twimg.com/media/EjXcPPmVoAAtRJ6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjXcPPmVoAAtRJ6.jpg', 'url': 'https://t.co/11RW5zwWDI', 'display_url': 'pic.twitter.com/11RW5zwWDI', 'expanded_url': 'https://twitter.com/areop_enap/status/1312197025195192322/photo/1', 'type': 'photo', 'original_info': {'width': 310, 'height': 301, 'focus_rects': [{'x': 0, 'y': 106, 'h': 174, 'w': 310}, {'x': 9, 'y': 0, 'h': 301, 'w': 301}, {'x': 46, 'y': 0, 'h': 301, 'w': 264}, {'x': 103, 'y': 0, 'h': 301, 'w': 151}, {'x': 0, 'y': 0, 'h': 301, 'w': 310}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 310, 'h': 301, 'resize': 'fit'}, 'small': {'w': 310, 'h': 301, 'resize': 'fit'}, 'large': {'w': 310, 'h': 301, 'resize': 'fit'}}, 'features': {'orig': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'large': {'faces': []}}}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.31191273302612E+018,1.31191273302612E+018,1.27718361371751E+018,1.27718361371751E+018,bluesky27416094,8.78012526717547E+017,8.78012526717547E+017,,,,,False,4,100,3,0,1.31189219068002E+018,1.31189219068002E+018,False,False,si,,False,True,,,,,"{'media': [{'id': 1312197020891848704, 'id_str': '1312197020891848704', 'indices': [321, 344], 'media_url': 'http://pbs.twimg.com/media/EjXcPPmVoAAtRJ6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjXcPPmVoAAtRJ6.jpg', 'url': 'https://t.co/11RW5zwWDI', 'display_url': 'pic.twitter.com/11RW5zwWDI', 'expanded_url': 'https://twitter.com/areop_enap/status/1312197025195192322/photo/1', 'type': 'photo', 'original_info': {'width': 310, 'height': 301, 'focus_rects': [{'x': 0, 'y': 106, 'h': 174, 'w': 310}, {'x': 9, 'y': 0, 'h': 301, 'w': 301}, {'x': 46, 'y': 0, 'h': 301, 'w': 264}, {'x': 103, 'y': 0, 'h': 301, 'w': 151}, {'x': 0, 'y': 0, 'h': 301, 'w': 310}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 310, 'h': 301, 'resize': 'fit'}, 'small': {'w': 310, 'h': 301, 'resize': 'fit'}, 'large': {'w': 310, 'h': 301, 'resize': 'fit'}}, 'features': {'orig': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'large': {'faces': []}}, 'media_key': '3_1312197020891848704', 'ext_media_color': {'palette': [{'rgb': {'red': 98, 'green': 92, 'blue': 71}, 'percentage': 63.84}, {'rgb': {'red': 184, 'green': 178, 'blue': 165}, 'percentage': 14.99}, {'rgb': {'red': 69, 'green': 89, 'blue': 30}, 'percentage': 6.26}, {'rgb': {'red': 43, 'green': 48, 'blue': 39}, 'percentage': 3.08}, {'rgb': {'red': 134, 'green': 138, 'blue': 94}, 'percentage': 1.32}]}, 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",1
30,1.20685371950294E+018,Tue Dec 17 08:28:43 +0000 2019,1.20685371950294E+018,1.20685371950294E+018,ඉස්සර ඔහොම ගෙදර ගාවට බැල්ලි පැටියෙක් ගෙනත් දාල තිබ්බ. මොනව කරන්නද ඉතින් අපි හදාගන්න ගත්තා. දැන් ඒකිටත් පැටවු දෙන්නෙක් ඉන්නව😊,False,"[0, 124]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1.04969233122436E+018,1.04969233122436E+018,,,,,True,0,41,4,1,1.20685371950294E+018,1.20685371950294E+018,False,False,si,,,,1.20676588748903E+018,1.20676588748903E+018,"{'url': 'https://t.co/1zEG6ppRcx', 'expanded': 'https://twitter.com/Im_Sithara/status/1206765887489028099', 'display': 'twitter.com/Im_Sithara/sta…'}",,,0
31,9.78503620026016E+017,Tue Mar 27 05:26:57 +0000 2018,9.78503620026016E+017,9.78503620026016E+017,@nima_dre @Indrajithonline බැල්ලී.. කතා කරන්නවාත් දන්නේ නැති බැල්ලීගේ පුතා ඔවා... වදපු දෙමාපියන් ලැජ්ජ නොකර වලක් කපන් වැළලියන්...😏 ජරා සතා... මට ඕන කෙනෙක් follow කරනවා..  unfollwe කරනවා... ඉතිම් ඔවාට මොකද.... ගොන් වස්සා... තමන්ගේ වැඩක් බලපන් ඉදපන්කෝ අපිට පව් නොදි... ගල් මුසලයා😏,False,"[27, 278]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nima_dre', 'name': 'Blood Diamond ❄️', 'id': 352931832, 'id_str': '352931832', 'indices': [0, 9]}, {'screen_name': 'Indrajithonline', 'name': 'Indrajith Bandara', 'id': 806420239789527040, 'id_str': '806420239789527040', 'indices': [10, 26]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9.7849917527169E+017,9.7849917527169E+017,352931832,352931832,nima_dre,7.84553325291245E+017,7.84553325291245E+017,,,,,False,0,2,3,4,9.78268433044386E+017,9.78268433044386E+017,False,False,si,,,,,,,,,1
