,Unnamed: 0,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,quoted_status_id,quoted_status_id_str,quoted_status_permalink,possibly_sensitive,possibly_sensitive_editable,extended_entities,card,self_thread,label
16,1.16533936519269E+018,Sat Aug 24 19:05:30 +0000 2019,1.16533936519269E+018,1.16533936519269E+018,@Anonymous__LK @puka_sl @BasnayakageGopi @rasiikalink @MalindaOnline ඒකියන්නෙ රසික අයියද මේ ෆේක් එකින් රිප්ලයි කලේ ☺️😊🤔🤨🙄 කොහොමද රසික අයියේ ඔයා බර ඇක් තොගයක් එකපාර නඩත්තු කරන්නෙ ඔයානම් පට්ට චරිතයක් මටත් ඔයාගෙන් ට්‍රික්ස් ටිකක් දැන ගන්න ඕන😃😊 ඔයා ඔය විදියට අක්කලත් බර ගානක් නඩත්තු කරනව ඇති නේද 😃😌මට ඒ ට්‍රික්ස් ටිකකුත් ඕන please 😋😉,False,"[69, 329]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Anonymous__LK', 'name': 'ඇනෝනිමස් ආතල්', 'id': 1138064372670984193, 'id_str': '1138064372670984193', 'indices': [0, 14]}, {'screen_name': 'puka_sl', 'name': 'පුක 🍑 | PUKA | All Fart No Shit', 'id': 1089477743773868032, 'id_str': '1089477743773868032', 'indices': [15, 23]}, {'screen_name': 'BasnayakageGopi', 'name': 'ගෝප්ස්', 'id': 982608810928844801, 'id_str': '982608810928844801', 'indices': [24, 40]}, {'screen_name': 'MalindaOnline', 'name': 'Malinda Alahakoon ☕', 'id': 74673651, 'id_str': '74673651', 'indices': [54, 68]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.16531604766831E+018,1.16531604766831E+018,1.13806437267098E+018,1.13806437267098E+018,Anonymous__LK,8.74190738455753E+017,8.74190738455753E+017,,,,,False,0,3,2,1,1.16512196731544E+018,1.16512196731544E+018,False,False,si,,,,,,,,,,0
17,1.12036469457591E+018,Mon Apr 22 16:32:13 +0000 2019,1.12036469457591E+018,1.12036469457591E+018,"සමහර පිස්සු හුකන්නලා smවල දකින හැම රෙද්දක්ම උස්සලා හුකන්න හදනවා,උන්ට අවුරුදු තිහක කාලයක් රටට වෙලා තිබුණු එක ගැන මෙලෝ මලදානයක් දන්නෑ,බෝම්බ වලට වඩා අපිව ආයුධ කරගන්න දගලන දේශපාලන මතවලට පොන්නයො වගේ නැවෙන්න එපා,ඔය සේරම එවුන් එකයි,එක දෙයක් මතක තියාන ජීවත් වෙයන් අපිට ඉන්නෙ අපි විතරයි.",False,"[0, 278]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,3334390273,3334390273,,,,,False,0,6,0,0,1.12036469457591E+018,1.12036469457591E+018,False,False,si,,,,,,,,,,1
19,1.28126616408613E+018,Thu Jul 09 16:37:12 +0000 2020,1.28126616408613E+018,1.28126616408613E+018,@devinda_hemal ඒ හුකන්න එක පාරකුත් වැරද්දක් කරලා ආයෙත් කරනවා ඌ දන්නවා උට බේරෙන්න පුලුවන් කියලා නීතිය තදටම තියෙන්න ඕන නැත්නම් ආයෙත් ඕකම කරයි,False,"[15, 139]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.28126338334647E+018,1.28126338334647E+018,1.06739928747713E+018,1.06739928747713E+018,hemal_devinda,9.14051095558632E+017,9.14051095558632E+017,,,,,False,0,2,0,0,1.28126338334647E+018,1.28126338334647E+018,False,False,si,,,,,,,,,,1
20,7.73134505288708E+017,Tue Sep 06 12:23:24 +0000 2016,7.73134505288708E+017,7.73134505288708E+017,"Mother fucker.... Everyone says it, it's fine. අම්මට හුකන්න - Uncultured pig",False,"[0, 76]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",7.73134245535429E+017,7.73134245535429E+017,106309967,106309967,shenukalles,106309967,106309967,,,,,False,1,1,1,0,7.73134245535429E+017,7.73134245535429E+017,False,False,en,,,,,,,,,,1
21,1.04682819818355E+018,Mon Oct 01 18:24:26 +0000 2018,1.04682819818355E+018,1.04682819818355E+018,@Pahankolla මටත් මේ හුකන්න කෙනෙක් නැතිව උන්නෙ. වරෙන් හුකාගමු.,False,"[12, 61]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Pahankolla', 'name': 'පහන්', 'id': 192923931, 'id_str': '192923931', 'indices': [0, 11]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.04681110531681E+018,1.04681110531681E+018,192923931,192923931,Pahankolla,233860469,233860469,,,,,False,0,1,1,0,1.04681110531681E+018,1.04681110531681E+018,False,False,si,,,,,,,,,,1
22,1.21845233143348E+018,Sat Jan 18 08:37:28 +0000 2020,1.21845233143348E+018,1.21845233143348E+018,@Isuru_SLfirst බෞකාපං රුවන් https://t.co/cY5dIZV3Vu,False,"[15, 27]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Isuru_SLfirst', 'name': 'Mr. ස්ටබර්න්™', 'id': 1027571402096820224, 'id_str': '1027571402096820224', 'indices': [0, 14]}], 'urls': [], 'media': [{'id': 1218452320507367424, 'id_str': '1218452320507367424', 'indices': [28, 51], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EOjP7guXkAA8ccP.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EOjP7guXkAA8ccP.jpg', 'url': 'https://t.co/cY5dIZV3Vu', 'display_url': 'pic.twitter.com/cY5dIZV3Vu', 'expanded_url': 'https://twitter.com/Chandu_original/status/1218452331433484289/photo/1', 'type': 'photo', 'original_info': {'width': 200, 'height': 200}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 200, 'h': 200, 'resize': 'fit'}, 'large': {'w': 200, 'h': 200, 'resize': 'fit'}, 'small': {'w': 200, 'h': 200, 'resize': 'fit'}}, 'features': {}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.21845060528024E+018,1.21845060528024E+018,1.02757140209682E+018,1.02757140209682E+018,Isuru_SLfirst,1.18116930487788E+018,1.18116930487788E+018,,,,,False,0,2,1,0,1.2184106733545E+018,1.2184106733545E+018,False,False,si,,,,,False,True,"{'media': [{'id': 1218452320507367424, 'id_str': '1218452320507367424', 'indices': [28, 51], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EOjP7guXkAA8ccP.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EOjP7guXkAA8ccP.jpg', 'url': 'https://t.co/cY5dIZV3Vu', 'display_url': 'pic.twitter.com/cY5dIZV3Vu', 'expanded_url': 'https://twitter.com/Chandu_original/status/1218452331433484289/photo/1', 'type': 'animated_gif', 'original_info': {'width': 200, 'height': 200}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 200, 'h': 200, 'resize': 'fit'}, 'large': {'w': 200, 'h': 200, 'resize': 'fit'}, 'small': {'w': 200, 'h': 200, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [1, 1], 'variants': [{'bitrate': 0, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/tweet_video/EOjP7guXkAA8ccP.mp4'}]}, 'features': {}, 'media_key': '16_1218452320507367424', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 100, 'green': 98, 'blue': 98}, 'percentage': 40.5}, {'rgb': {'red': 205, 'green': 155, 'blue': 134}, 'percentage': 27.11}, {'rgb': {'red': 123, 'green': 208, 'blue': 195}, 'percentage': 14.91}, {'rgb': {'red': 198, 'green': 132, 'blue': 100}, 'percentage': 6.6}, {'rgb': {'red': 136, 'green': 79, 'blue': 69}, 'percentage': 4.4}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",,,1
24,1.01834760173574E+018,Sun Jul 15 04:12:42 +0000 2018,1.01834760173574E+018,1.01834760173574E+018,ට හුකන්න කවුද යකෝ මෙ මදු #madhuroxcomments,False,"[0, 42]","{'hashtags': [{'text': 'madhuroxcomments', 'indices': [25, 42]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,81790910,81790910,,,,,False,0,2,1,0,1.01834760173574E+018,1.01834760173574E+018,False,False,si,,,,,,,,,,1
25,9.6035940811812E+017,Mon Feb 05 03:48:20 +0000 2018,9.6035940811812E+017,9.6035940811812E+017,@d3vinlive තොට හුකන්න වේසාවා තෝ බීලා හුකාපන් එතකොට උබ වගේ විශබීජයක් ඉපදෙන්නේ නෑ මේ ලෝකෙට ආයිත් 😂🔫,False,"[11, 97]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'd3vinlive', 'name': 'devin', 'id': 733962612908511232, 'id_str': '733962612908511232', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9.60357997280076E+017,9.60357997280076E+017,7.33962612908511E+017,7.33962612908511E+017,d3vinlive,7.07102986049348E+017,7.07102986049348E+017,,,,,False,0,1,1,0,9.60357997280076E+017,9.60357997280076E+017,False,False,si,,,,,,,,,,1
26,9.07200761401975E+017,Mon Sep 11 11:14:51 +0000 2017,9.07200761401975E+017,9.07200761401975E+017,@chanukatc මනුස්සකමට රෙද්ද ඉස්සුවාම ණයට හුකන්න එන්නෙපා මල්ලි. වයසට හරියන එකෙක් අල්‍ලගනින්,False,"[11, 89]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'chanukatc', 'name': 'THISURA', 'id': 797374741140996100, 'id_str': '797374741140996100', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9.07200310145425E+017,9.07200310145425E+017,7.97374741140996E+017,7.97374741140996E+017,chanukatc,186032870,186032870,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,False,0,0,0,0,9.07198533920588E+017,9.07198533920588E+017,False,False,si,,,,,,,,,,1
27,9.79337143225954E+017,Thu Mar 29 12:39:04 +0000 2018,9.79337143225954E+017,9.79337143225954E+017,@IamHisAnchor හුකන්න 😂,False,"[14, 22]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9.79336964221559E+017,9.79336964221559E+017,8.98356792261923E+017,8.98356792261923E+017,_NayanatharaJ,7.07102986049348E+017,7.07102986049348E+017,,,,,False,0,1,1,0,9.79335703875092E+017,9.79335703875092E+017,False,False,si,,,,,,,,,,1
28,1.37132206088298E+018,Mon Mar 15 04:47:11 +0000 2021,1.37132206088298E+018,1.37132206088298E+018,@Geeth__R අනේ මන්දා මල්ලී මුන්ගේ අම්මාගෙන් තමයි අහන්න ඕන 🥴,False,"[10, 58]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Geeth__R', 'name': '🔱AZI 😌☁️🇱🇰', 'id': 949549091905826816, 'id_str': '949549091905826816', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.37132012267401E+018,1.37132012267401E+018,9.49549091905827E+017,9.49549091905827E+017,Geeth__R,1467472404,1467472404,,,,,False,0,1,2,0,1.3713189289249E+018,1.3713189289249E+018,False,False,si,,,,,,,,,,0
29,1.19958059780855E+018,Wed Nov 27 06:47:56 +0000 2019,1.19958059780855E+018,1.19958059780855E+018,ටෛකෙන අව්ව 😒,False,"[0, 12]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,352931832,352931832,,,,,False,0,6,1,0,1.19958059780855E+018,1.19958059780855E+018,False,False,si,,,,,,,,,,0
30,1.13589738153321E+018,Tue Jun 04 13:13:34 +0000 2019,1.13589738153321E+018,1.13589738153321E+018,@ChamudithaJithm @RusselArnold69 උගෙ අම්මට හුකන්න ගිහින් තියෙන්නෙ 😡😡😡😡😡,False,"[33, 71]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ChamudithaJithm', 'name': 'Chamuditha  jayanka🇱🇰', 'id': 3011316871, 'id_str': '3011316871', 'indices': [0, 16]}, {'screen_name': 'RusselArnold69', 'name': 'Russel Arnold', 'id': 456593827, 'id_str': '456593827', 'indices': [17, 32]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.13586968838097E+018,1.13586968838097E+018,3011316871,3011316871,ChamudithaJithm,8.36609053115597E+017,8.36609053115597E+017,,,,,False,0,0,0,0,1.13586941487883E+018,1.13586941487883E+018,False,False,si,,,,,,,,,,1
31,1.35086286423652E+018,Sun Jan 17 17:49:39 +0000 2021,1.35086286423652E+018,1.35086286423652E+018,@sunandadesh සුනන්ද දේසප්‍රිය නෙවෙයි  ...හුකන්න සක්කිලීප්‍රිය....   කියලා ද ගත්තනන් හොදයි,False,"[13, 89]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sunandadesh', 'name': 'sunanda deshapriya', 'id': 27633152, 'id_str': '27633152', 'indices': [0, 12]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3507428738814E+018,1.3507428738814E+018,27633152,27633152,sunandadesh,1.34819242268618E+018,1.34819242268618E+018,,,,,False,0,0,0,0,1.3507428738814E+018,1.3507428738814E+018,False,False,si,,,,,,,,,,1
32,1.22870478987094E+018,Sat Feb 15 15:37:04 +0000 2020,1.22870478987094E+018,1.22870478987094E+018,"@MaheshNegombo @DulithK උගෙ අම්ම, ගෑනි වුනත් දෙයි රාජපක්ෂ කෙනෙක් හුකන්න ඕනෙ කිව්වොත්",False,"[24, 84]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MaheshNegombo', 'name': 'Mahesh Madusanka', 'id': 189878124, 'id_str': '189878124', 'indices': [0, 14]}, {'screen_name': 'DulithK', 'name': 'Dulith Kasun (DK)', 'id': 55178704, 'id_str': '55178704', 'indices': [15, 23]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.22870457495063E+018,1.22870457495063E+018,189878124,189878124,MaheshNegombo,260766258,260766258,,,,,False,0,2,1,0,1.22870314608967E+018,1.22870314608967E+018,False,False,si,,,,,,,,,,1
