,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,possibly_sensitive,possibly_sensitive_editable,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread,extended_entities
945649237408202752,Tue Dec 26 13:35:22 +0000 2017,945649237408202752,945649237408202752,වල් බැල්ලි ගහනවා තොට වැලි @ sorry  😐 i got that name shit shot shit  head shot 😂 https://t.co/cZVIUGpIIW,False,"[0, 80]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cZVIUGpIIW', 'expanded_url': 'https://twitter.com/amisosweet/status/945640091669499907', 'display_url': 'twitter.com/amisosweet/sta…', 'indices': [81, 104]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,401184754,401184754,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,True,0,1,0,0,945649237408202752,945649237408202752,False,False,en,,False,True,9.456400916694999e+17,945640091669499907,"{'url': 'https://t.co/cZVIUGpIIW', 'expanded': 'https://twitter.com/amisosweet/status/945640091669499907', 'display': 'twitter.com/amisosweet/sta…'}",,
776718629983227904,Fri Sep 16 09:45:26 +0000 2016,776718629983227904,776718629983227904,නොදකින් පර බැල්ලි..! https://t.co/62abkoZXO9,False,"[0, 44]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/62abkoZXO9', 'expanded_url': 'http://fb.me/2scSZYzqp', 'display_url': 'fb.me/2scSZYzqp', 'indices': [21, 44]}]}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,249054217,249054217,,,,,False,0,0,0,0,776718629983227904,776718629983227904,False,False,si,,False,True,,,,,
1326147069170524160,Tue Nov 10 12:57:54 +0000 2020,1326147069170524160,1326147069170524160,@da_sukiya කොහේදකියන්න එපා ඔයා හුකන්නි,False,"[11, 38]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'da_sukiya', 'name': 'Sukiya 🇱🇰', 'id': 181142874, 'id_str': '181142874', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3261103209479823e+18,1326110320947982336,181142874.0,181142874,da_sukiya,246224922,246224922,,,,,False,0,0,1,0,1326110320947982336,1326110320947982336,False,False,si,,,,,,,,
1253687170579099651,Fri Apr 24 14:08:08 +0000 2020,1253687170579099651,1253687170579099651,"ගෙදර හිටපු අන්තිම බලු පැටව් දෙන්නත් පන්සලට ගිහින් දැම්මා
💔💔😔
දැන් ගෙදරම පාලුයි 💔",False,"[0, 80]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,2910146527,2910146527,,,,,False,0,69,12,5,1253687170579099651,1253687170579099651,False,False,si,,,,,,,,
945656981276073984,Tue Dec 26 14:06:08 +0000 2017,945656981276073984,945656981276073984,"වල් බැල්ලි ගහනවා තොට වැලි @NotAqeela 

😂 https://t.co/SzJs2MRdwL",False,"[0, 40]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SzJs2MRdwL', 'expanded_url': 'https://twitter.com/AmIsoSweet/status/945640091669499907', 'display_url': 'twitter.com/AmIsoSweet/sta…', 'indices': [41, 64]}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,51682323,51682323,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,True,0,0,1,0,945656981276073984,945656981276073984,False,False,si,,False,True,9.456400916694999e+17,945640091669499907,"{'url': 'https://t.co/SzJs2MRdwL', 'expanded': 'https://twitter.com/AmIsoSweet/status/945640091669499907', 'display': 'twitter.com/AmIsoSweet/sta…'}",,
1207604127146135552,Thu Dec 19 10:10:34 +0000 2019,1207604127146135552,1207604127146135552,"@Wind_Desika බල්ලගෙ බල්ලා කිව්වෙ, ඌ ගේ ද? බල්ලගෙ බැල්ලි කිව්වනම් හරි.",False,"[13, 69]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Wind_Desika', 'name': 'WinD', 'id': 2533578847, 'id_str': '2533578847', 'indices': [0, 12]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2074540661519524e+18,1207454066151952384,2533578847.0,2533578847,Wind_Desika,48930119,48930119,,,,,False,0,0,0,0,1207454066151952384,1207454066151952384,False,False,si,,,,,,,,
1142730405566488576,Sun Jun 23 09:45:34 +0000 2019,1142730405566488576,1142730405566488576,"ඉයෙ බැල්ලි  කානිවල් එකෙදි හිටියා වෙන එකෙක් එක්ක හුරතල් වෙවි මගෙ පාපුව හොස් ගලා ගියා  😡😡.  

අනෙ මෙහෙමත් මිනිස්සු  😞😞",False,"[0, 116]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,2929030242,2929030242,,,,,False,0,43,8,1,1142730405566488576,1142730405566488576,False,False,si,,,,,,,,
1248089923334230016,Thu Apr 09 03:26:40 +0000 2020,1248089923334230016,1248089923334230016,"🔷Bastard - a bad man නරක මිනිහෙක්, අකමැති කෙනෙක්( සතා )

◽️Shut your fucking mouth u bastard. වහපන් තොගේ කට තිරිසනා

🔷Bitch - A cruel woman බැල්ලි

◽️I hate that bitch. මට ඒ බැල්ලිව පේන්න බෑ

Cont👇",False,"[0, 197]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2480898065312645e+18,1248089806531264513,1.19637419840845e+18,1196374198408450048,Its_Me_S_Soori,1196374198408450048,1196374198408450048,,,,,False,0,6,1,0,1248089623995092992,1248089623995092992,False,False,und,,,,,,,"{'id': 1248089623995092992, 'id_str': '1248089623995092992'}",
1063852099841081344,Sat Nov 17 17:51:20 +0000 2018,1063852099841081344,1063852099841081344,"@defyixviiithara තෝ මැරිය බැල්ලි 😂 @CIDDumiya 
#එකළඟට්වීට් https://t.co/36qlstrIQ4",False,"[0, 58]","{'hashtags': [{'text': 'එකළඟට්වීට්', 'indices': [47, 58]}], 'symbols': [], 'user_mentions': [{'screen_name': 'defyixviiithara', 'name': 'deffy:', 'id': 3334390273, 'id_str': '3334390273', 'indices': [0, 16]}], 'urls': [], 'media': [{'id': 1063852086444478464, 'id_str': '1063852086444478464', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/DsOP1goU0AAoZrU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DsOP1goU0AAoZrU.jpg', 'url': 'https://t.co/36qlstrIQ4', 'display_url': 'pic.twitter.com/36qlstrIQ4', 'expanded_url': 'https://twitter.com/itzJambole/status/1063852099841081344/photo/1', 'type': 'photo', 'original_info': {'width': 750, 'height': 402, 'focus_rects': [{'x': 0, 'y': 0, 'h': 402, 'w': 718}, {'x': 0, 'y': 0, 'h': 402, 'w': 402}, {'x': 0, 'y': 0, 'h': 402, 'w': 353}, {'x': 0, 'y': 0, 'h': 402, 'w': 201}, {'x': 0, 'y': 0, 'h': 402, 'w': 750}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 750, 'h': 402, 'resize': 'fit'}, 'large': {'w': 750, 'h': 402, 'resize': 'fit'}, 'small': {'w': 680, 'h': 364, 'resize': 'fit'}}, 'features': {'medium': {'faces': [{'x': 386, 'y': 100, 'h': 36, 'w': 36}, {'x': 58, 'y': 246, 'h': 84, 'w': 84}]}, 'large': {'faces': [{'x': 386, 'y': 100, 'h': 36, 'w': 36}, {'x': 58, 'y': 246, 'h': 84, 'w': 84}]}, 'orig': {'faces': [{'x': 386, 'y': 100, 'h': 36, 'w': 36}, {'x': 58, 'y': 246, 'h': 84, 'w': 84}]}, 'small': {'faces': [{'x': 349, 'y': 90, 'h': 32, 'w': 32}, {'x': 52, 'y': 223, 'h': 76, 'w': 76}]}}}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,3334390273.0,3334390273,defyixviiithara,2483063340,2483063340,,,,,False,2,2,2,0,1063852099841081344,1063852099841081344,False,False,si,,False,True,,,,,"{'media': [{'id': 1063852086444478464, 'id_str': '1063852086444478464', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/DsOP1goU0AAoZrU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DsOP1goU0AAoZrU.jpg', 'url': 'https://t.co/36qlstrIQ4', 'display_url': 'pic.twitter.com/36qlstrIQ4', 'expanded_url': 'https://twitter.com/itzJambole/status/1063852099841081344/photo/1', 'type': 'photo', 'original_info': {'width': 750, 'height': 402, 'focus_rects': [{'x': 0, 'y': 0, 'h': 402, 'w': 718}, {'x': 0, 'y': 0, 'h': 402, 'w': 402}, {'x': 0, 'y': 0, 'h': 402, 'w': 353}, {'x': 0, 'y': 0, 'h': 402, 'w': 201}, {'x': 0, 'y': 0, 'h': 402, 'w': 750}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 750, 'h': 402, 'resize': 'fit'}, 'large': {'w': 750, 'h': 402, 'resize': 'fit'}, 'small': {'w': 680, 'h': 364, 'resize': 'fit'}}, 'features': {'medium': {'faces': [{'x': 386, 'y': 100, 'h': 36, 'w': 36}, {'x': 58, 'y': 246, 'h': 84, 'w': 84}]}, 'large': {'faces': [{'x': 386, 'y': 100, 'h': 36, 'w': 36}, {'x': 58, 'y': 246, 'h': 84, 'w': 84}]}, 'orig': {'faces': [{'x': 386, 'y': 100, 'h': 36, 'w': 36}, {'x': 58, 'y': 246, 'h': 84, 'w': 84}]}, 'small': {'faces': [{'x': 349, 'y': 90, 'h': 32, 'w': 32}, {'x': 52, 'y': 223, 'h': 76, 'w': 76}]}}, 'media_key': '3_1063852086444478464', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 22, 'green': 32, 'blue': 42}, 'percentage': 89.47}, {'rgb': {'red': 109, 'green': 114, 'blue': 120}, 'percentage': 4.81}, {'rgb': {'red': 216, 'green': 205, 'blue': 215}, 'percentage': 4.23}, {'rgb': {'red': 110, 'green': 74, 'blue': 62}, 'percentage': 0.57}, {'rgb': {'red': 218, 'green': 189, 'blue': 84}, 'percentage': 0.28}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}"
1348540564581408773,Mon Jan 11 08:01:39 +0000 2021,1348540564581408773,1348540564581408773,ස්ස් බැල්ලි කොහෙද යන්නෙ😒,False,"[0, 24]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1117021610618310656,1117021610618310656,,,,,False,0,22,5,0,1348540564581408773,1348540564581408773,False,False,si,,,,,,,,
1095951028007067649,Thu Feb 14 07:41:01 +0000 2019,1095951028007067649,1095951028007067649,"කොල්ලා = ඒයි ඔයා මට ඊයේ කිව්වනේ ඔයා කන්‍යාවියක් කියලා...කෝ දැන් ?

කෙල්ල = ආහ් ඒ කිව්වෙ මගේ ලග්නෙ කන්‍යා කියලා මෝඩයෝ😘 

කොල්ලා = නෙදකින් වල් බැල්ලි...

ගිය අවුරුද්දෙ වෙන කොල්ලෙක් එක්ක වැලන්ටයින් සමරපු එකියක් 😘😂✋

#වැල_ඉන්_ටයිම්_විත්_Brazzers",False,"[0, 241]","{'hashtags': [{'text': 'වැල_ඉන්_ටයිම්_විත්_Brazzers', 'indices': [213, 241]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,3089536357,3089536357,,,,,False,1,17,1,0,1095951028007067649,1095951028007067649,False,False,si,,,,,,,,
780608641829179393,Tue Sep 27 03:22:57 +0000 2016,780608641829179393,780608641829179393,ලංකාවේ රනිල්ට කඩේ යන උන්ම හිලරිට කඩේ යනවා වගේ 😎 කොහොමත් උන් ඔක්කොම කොටියට රෙදි නැතුවනේ කඩේ යන්නේ #debates #PresidentialDebate,False,"[0, 125]","{'hashtags': [{'text': 'debates', 'indices': [97, 105]}, {'text': 'PresidentialDebate', 'indices': [106, 125]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,992835230,992835230,,,,,False,1,8,1,0,780608641829179393,780608641829179393,False,False,si,,,,,,,,
994049336378970112,Wed May 09 03:00:04 +0000 2018,994049336378970112,994049336378970112,"මම නම් අකමැති නෑ. බැල්ලි කැමති වෙයිද?
View full image ► https://t.co/5cgAVIMJTV https://t.co/5cgAVIMJTV",False,"[0, 103]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5cgAVIMJTV', 'expanded_url': 'https://goo.gl/WtmuND', 'display_url': 'goo.gl/WtmuND', 'indices': [56, 79]}, {'url': 'https://t.co/5cgAVIMJTV', 'expanded_url': 'https://goo.gl/WtmuND', 'display_url': 'goo.gl/WtmuND', 'indices': [80, 103]}]}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,2588773098,2588773098,,,,,False,0,0,0,0,994049336378970112,994049336378970112,False,False,si,,False,True,,,,,
1251787930634502144,Sun Apr 19 08:21:14 +0000 2020,1251787930634502144,1251787930634502144,@S3MTX_ @JuicyyTheFreek lmfao he is the same way about that song බැල්ලි,False,"[24, 71]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'S3MTX_', 'name': 'S3MTX 🎃👻', 'id': 883560781236895744, 'id_str': '883560781236895744', 'indices': [0, 7]}, {'screen_name': 'JuicyyTheFreek', 'name': 'Juicyy\U0001f9c3', 'id': 809131713162977280, 'id_str': '809131713162977280', 'indices': [8, 23]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2517874597021614e+18,1251787459702161409,8.835607812368957e+17,883560781236895744,S3MTX_,1143551057500487681,1143551057500487681,,,,,False,0,1,1,0,1251784409839210496,1251784409839210496,False,False,en,,,,,,,,
986235701262827521,Tue Apr 17 13:31:29 +0000 2018,986235701262827521,986235701262827521,"පටලගන්න එපා බොලව් 😭😭

#Chutikki = මගේ කෙල්ල
#චුන්කි = රත්තගේ කෙල්ල
#චුක්කි = දෝණිගේ බැල්ලි

😜😜😜",False,"[0, 95]","{'hashtags': [{'text': 'Chutikki', 'indices': [22, 31]}, {'text': 'චුන්කි', 'indices': [44, 51]}, {'text': 'චුක්කි', 'indices': [67, 74]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,2606933641,2606933641,,,,,False,11,109,10,2,986235701262827521,986235701262827521,False,False,si,,,,,,,,
1223633318450810880,Sat Feb 01 15:44:51 +0000 2020,1223633318450810880,1223633318450810880,@indika27 🤣🤣🤣🤣 රංජන්ගේ ස්ටයිල් එක වෙනස් බබාහ්,False,"[10, 45]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'indika27', 'name': 'Amila Chathuranga', 'id': 150624162, 'id_str': '150624162', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2236330546415534e+18,1223633054641553408,150624162.0,150624162,indika27,2533578847,2533578847,,,,,False,0,1,1,0,1223629983454765057,1223629983454765057,False,False,si,,,,,,,,
1056435280687849472,Sun Oct 28 06:39:33 +0000 2018,1056435280687849472,1056435280687849472,"රතිඤ්ඤා ගෙනල්ලා තියෙන්නෙ 📣🎆🎇🎉️💥
-ප්‍රභාකරන් එක්ක දොයිගත්ත වේසකලා කියන පර බැල්ලි හීරේ දාපු දවසට දාන්න
-හිරේ දාපු මගෙ රණවිරුවො නිදහස් උන දවසට දාන්න
-විල්පත්තුව කපපු පරයො හිරේ දාපු දවසට දාන්න
-කොටින්ට වන්දි වෙනුවට... https://t.co/ikmDHeQMKJ",False,"[0, 237]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ikmDHeQMKJ', 'expanded_url': 'https://www.facebook.com/100002919240140/posts/1970088216431801/', 'display_url': 'facebook.com/10000291924014…', 'indices': [214, 237]}]}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,702597727,702597727,,,,,False,0,0,0,0,1056435280687849472,1056435280687849472,False,False,si,,False,True,,,,,
